candidate,round,model0_weight,model1_weight,top_k,internal_max_weight,risk_filter_enabled,weighting,score_combination,windows,mean_excess,sum_excess,hit_rate,worst_window,best_window,std_excess,mean_3w,sum_3w,hit_3w,worst_3w,best_3w,std_3w,mean_7w,sum_7w,hit_7w,worst_7w,best_7w,std_7w,mean_13w,sum_13w,hit_13w,worst_13w,best_13w,std_13w,raw_score_3w,raw_score_7w,raw_score_13w,raw_penalty,raw_combined_score,score_3w,rank_3w,score_7w,rank_7w,score_13w,rank_13w,rank_spread_3_7_13,final_penalty,final_score
stable_compact_current,ultra,0.5465,0.4535,31,0.031758,True,rank,rank_average,13,0.009603093935345784,0.1248402211594952,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.017950436300978288,0.025358169655405226,0.07607450896621568,1.0,0.016568274464532483,0.03335156830692443,0.006874859664163794,0.012827875688589788,0.08979512982012852,0.5714285714285714,-0.01079446554250689,0.03335156830692443,0.01694600272760193,0.009603093935345784,0.1248402211594952,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.017950436300978288,0.020921687276876696,0.004321144084897477,0.0007229701179300385,0.0,0.01042163526664405,0.9369905317691896,181.0,0.7258854582266419,25144.0,0.8865548740546656,297.0,24963.0,0.0,0.8344279000178646
stable_compact_capacity,ultra,0.978,0.02200000000000002,33,0.030303030303030304,True,equal,rank_average,13,0.006137682711883082,0.07978987525448007,0.5384615384615384,-0.019856832010414285,0.02838799011738926,0.014047085503726766,0.020241978265774875,0.060725934797324625,1.0,0.01441371049789604,0.02838799011738926,0.005935715399130602,0.011442370542911237,0.08009659380037866,0.7142857142857143,-0.008317140708467268,0.02838799011738926,0.013362558656792157,0.006137682711883082,0.07978987525448007,0.5384615384615384,-0.019856832010414285,0.02838799011738926,0.014047085503726766,0.017294452075797374,0.004491780489950921,-0.00251581387920182,0.0,0.008561709968916592,0.8335663669386053,19972.0,0.7511632823200143,22734.0,0.7109090990293574,24158.0,4186.0,0.0,0.7780863886738522
recent_compact_capacity,ultra,0.055,0.945,31,0.030758,True,rank,rank_average,13,0.00420774587078284,0.05470069632017692,0.6923076923076923,-0.03660849419902046,0.023585013450243178,0.016138063779144996,0.019929866999221155,0.059789600997663464,1.0,0.01637931090409943,0.023585013450243178,0.002942645255863749,0.013558908190649421,0.09491235733454595,1.0,0.0023422165718223567,0.023585013450243178,0.007266993020319555,0.00420774587078284,0.05470069632017692,0.6923076923076923,-0.03660849419902046,0.023585013450243178,0.016138063779144996,0.017765196787908867,0.009501509137371546,-0.008990080247022842,0.0,0.010033245789927318,0.8482694575120586,17952.0,0.9583418388614303,1124.0,0.3684627523372834,116910.0,115786.0,0.05,0.7758310233430595
balanced_medium_current,fine,0.0,1.0,49,0.03,True,equal,rank_average,13,0.008988627150208085,0.1168521529527051,0.7692307692307693,-0.026802727051429748,0.03849543478165335,0.01567832746747329,0.017937832757399328,0.05381349827219799,1.0,0.014747511573535883,0.021744264317666864,0.002889444149262472,0.010485754190328529,0.0734002793322997,0.8571428571428571,-0.0021299618600080393,0.021744264317666864,0.007655022437708529,0.008988627150208085,0.1168521529527051,0.7692307692307693,-0.026802727051429748,0.03849543478165335,0.01567832746747329,0.01609124349098446,0.006131135331827466,-0.0029521516821224393,0.0,0.008752685543397778,0.7799042755910199,27384.0,0.7772607038647056,20498.0,0.7192133924849639,21827.0,6886.0,0.0,0.7696110358482702
stable_extra_wide_capacity,fine,0.285,0.7150000000000001,46,0.03,False,equal,rank_average,13,0.00782217235007023,0.101688240550913,0.7692307692307693,-0.023449085755843327,0.027633806328675792,0.015143415312070493,0.01796277128919901,0.05388831386759703,1.0,0.013389694130643677,0.023841780608454974,0.004365823484076867,0.014537879728714632,0.10176515810100242,0.8571428571428571,-0.01271536593474114,0.027633806328675792,0.013011998883768462,0.00782217235007023,0.101688240550913,0.7692307692307693,-0.023449085755843327,0.027633806328675792,0.015143415312070493,0.01565737869795585,0.004947663544045621,-0.0025103292906574976,0.0,0.008112850680404245,0.7625208717918182,30131.0,0.7181306199011492,26583.0,0.7454429821949621,16960.0,13171.0,0.0,0.7399835750014888
short_aggressive_wide_capacity,ultra,0.5935,0.4065,30,0.036,True,rank,rank_average,13,0.005903750994335244,0.07674876292635817,0.5384615384615384,-0.01821365829564972,0.0370915964730851,0.01925422885704181,0.02349281660738441,0.07047844982215323,1.0,0.0168298604366908,0.03565992247610094,0.008616439985117328,0.009774683288632874,0.06842278302043012,0.5714285714285714,-0.01129976362337323,0.03565992247610094,0.018406258689288836,0.005903750994335244,0.07674876292635817,0.5384615384615384,-0.01821365829564972,0.0370915964730851,0.01925422885704181,0.01994475941031708,0.0024140760502361427,-0.0021069076323317814,0.0,0.008748201841883328,0.9225718454117786,2103.0,0.5509777585898885,66806.0,0.7282289942237836,19966.0,64703.0,0.0,0.7262030786637289
balanced_extra_wide_capacity,fine,0.725,0.275,64,0.03,False,equal,rank_average,13,0.005973471401372166,0.07765512821783815,0.6153846153846154,-0.021251577641279912,0.02456446637540366,0.013851473245822372,0.013274628906329517,0.03982388671898855,1.0,0.011290167510435233,0.016594345256904397,0.0023623088616907526,0.010546289286312963,0.07382402500419075,0.8571428571428571,-0.010630855511593401,0.02456446637540366,0.00992388762485078,0.005973471401372166,0.07765512821783815,0.6153846153846154,-0.021251577641279912,0.02456446637540366,0.013851473245822372,0.012292293755051451,0.003360345431515423,-0.002992757307455622,0.0,0.005980159350084178,0.5829152325373668,63095.0,0.67491618531531,35752.0,0.6679465253379384,41810.0,27343.0,0.0,0.637070355207527
short_aggressive_compact_capacity,ultra,0.9455,0.05449999999999999,31,0.03225806451612903,True,equal,rank_average,13,0.006867885708925121,0.08928251421602657,0.6153846153846154,-0.02450736355722585,0.044738843878811385,0.017370170423031746,0.012536470946397926,0.03760941283919378,1.0,0.004841239979529635,0.018694612307168575,0.005759106675803586,0.0112557633767503,0.0787903436372521,0.8571428571428571,-0.007251281099084489,0.026358728890743328,0.009874594255896034,0.006867885708925121,0.08928251421602657,0.6153846153846154,-0.02450736355722585,0.044738843878811385,0.017370170423031746,0.009743397632691598,0.0048800052191926456,-0.003557350504412597,0.0,0.00555975882605144,0.41773417495384974,101175.0,0.7871794795450484,19733.0,0.6655946525337939,42688.0,81442.0,0.0,0.6211636336568808
short_aggressive_medium_capacity,ultra,0.9455,0.05449999999999999,31,0.03225806451612903,True,equal,rank_average,13,0.006867885708925121,0.08928251421602657,0.6153846153846154,-0.02450736355722585,0.044738843878811385,0.017370170423031746,0.012536470946397926,0.03760941283919378,1.0,0.004841239979529635,0.018694612307168575,0.005759106675803586,0.0112557633767503,0.0787903436372521,0.8571428571428571,-0.007251281099084489,0.026358728890743328,0.009874594255896034,0.006867885708925121,0.08928251421602657,0.6153846153846154,-0.02450736355722585,0.044738843878811385,0.017370170423031746,0.009743397632691598,0.0048800052191926456,-0.003557350504412597,0.0,0.00555975882605144,0.41773417495384974,101175.0,0.7871794795450484,19733.0,0.6655946525337939,42688.0,81442.0,0.0,0.6211636336568808
recent_compact_current,fine,0.825,0.17500000000000004,37,0.03,True,equal,rank_average,13,0.006329252392094183,0.08228028109722438,0.8461538461538461,-0.01683410943013479,0.022223375113595643,0.008897920165467395,0.009354839580387027,0.02806451874116108,1.0,0.007700082600071897,0.011423645707407469,0.0015480758111266564,0.01040833200848394,0.07285832405938758,1.0,0.0037419737230631363,0.022223375113595643,0.005357859640928698,0.006329252392094183,0.08228028109722438,0.8461538461538461,-0.01683410943013479,0.022223375113595643,0.008897920165467395,0.00887328581884433,0.00816760057344668,-0.0011014284022969499,0.0,0.007059520325244197,0.31745230155421905,119040.0,0.8557135413565176,14740.0,0.8709569761210028,2243.0,116797.0,0.05,0.5926955606502708
