feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile,group,is_candidate,group_score,combined_score
boll_width_10d,0.009745959683279626,0.009745959683279626,0.5125,0.005610152845018488,0.012988214391377054,0.6,-0.06768496948133647,0.003807615230460922,1,80,0.004994804337680808,0.004994804337680808,0.005610152845018488,0.7088843523345625,short_history,short_bollinger,True,0.875,0.7421074818676501
beta_to_csi500_60d,0.025036340212641273,0.025036340212641273,0.4875,0.004071910264294177,0.012692106831553491,0.5625,-0.04101625522061886,0.009644288577154308,1,80,0.01220521585366262,0.01220521585366262,0.004071910264294177,0.7360836218700746,short_history,csi500_relative,True,0.75,0.7388668974960597
residual_ret_20d,-0.01832009068574752,0.01832009068574752,0.55,0.00017520077725011185,-0.002187899077629619,0.5625,-0.04499146398020329,0.01094689378757515,-1,80,0.010076049877161136,0.010076049877161136,0.00017520077725011185,0.7214277442785927,short_history,csi500_relative,True,0.75,0.7271421954228742
residual_ret_1d,-0.019744554939716753,0.019744554939716753,0.525,0.002914753274355928,0.002656163433995304,0.475,-0.04000366392628944,0.009644288577154308,-1,80,0.010365891343351296,0.010365891343351296,0.002914753274355928,0.7211370026529927,short_history,csi500_relative,True,0.75,0.7269096021223942
excess_ret_1d,-0.015036505460044041,0.015036505460044041,0.4625,0.0022104417185573955,0.0012648543831153454,0.525,-0.03885600408760024,0.002004008016032064,-1,80,0.006954383775270369,0.006954383775270369,0.0022104417185573955,0.7159140344746432,short_history,csi500_relative,True,0.75,0.7227312275797146
excess_ret_60d,-0.0382990374979897,0.0382990374979897,0.525,-0.0007013237387357176,-0.002275475338137207,0.4875,-0.03488079402031304,0.002530060120240481,-1,80,0.02010699468644459,0.02010699468644459,-0.0007013237387357176,0.715620827954842,short_history,csi500_relative,True,0.75,0.7224966623638737
excess_ret_2d,-0.013575513380688343,0.013575513380688343,0.5375,0.0001583810124670281,-0.0011504435891151461,0.55,-0.05425646738530562,0.0022294589178356713,-1,80,0.007296838442119984,0.007296838442119984,0.0001583810124670281,0.7099419078370264,short_history,csi500_relative,True,0.75,0.7179535262696212
excess_ret_3d,-0.014233436380167792,0.014233436380167792,0.5125,-9.517738851709499e-05,-0.0008257754486297751,0.4875,-0.03750609597631512,0.002404809619238477,-1,80,0.007294636144835992,0.007294636144835992,-9.517738851709499e-05,0.7085096527574722,short_history,csi500_relative,True,0.75,0.7168077222059779
excess_ret_3d_rank,-0.014233436380167792,0.014233436380167792,0.5125,-9.517738851709499e-05,-0.0008257754486297751,0.4875,-0.03750609597631512,0.002404809619238477,-1,80,0.007294636144835992,0.007294636144835992,-9.517738851709499e-05,0.7085096527574722,short_history,csi500_relative,True,0.75,0.7168077222059779
boll_z_20d,-0.010089979455420128,0.010089979455420128,0.5625,-0.0044797376257253415,-0.005719948319590172,0.45,-0.052944050072871306,0.005485971943887775,-1,80,0.005675613443673822,0.005675613443673822,-0.0044797376257253415,0.6502595092319872,short_history,short_bollinger,True,0.875,0.6952076073855898
boll_position_20d,-0.010089979455420128,0.010089979455420128,0.5625,-0.0044797376257253415,-0.005719948319590172,0.45,-0.052944050072871306,0.005485971943887775,-1,80,0.005675613443673822,0.005675613443673822,-0.0044797376257253415,0.6502595092319872,short_history,short_bollinger,True,0.875,0.6952076073855898
boll_z_10d,-0.009841411416852217,0.009841411416852217,0.4625,-0.005119651964003595,-0.003030783256813369,0.3875,-0.054089458213691176,0.003807615230460922,-1,80,0.004551652780294151,0.004551652780294151,-0.005119651964003595,0.632282928847018,short_history,short_bollinger,True,0.875,0.6808263430776145
boll_position_10d,-0.009841411416852217,0.009841411416852217,0.4625,-0.005119651964003595,-0.003030783256813369,0.3875,-0.054089458213691176,0.003807615230460922,-1,80,0.004551652780294151,0.004551652780294151,-0.005119651964003595,0.632282928847018,short_history,short_bollinger,True,0.875,0.6808263430776145
excess_ret_5d,-0.006578089913016,0.006578089913016,0.4875,-0.0013061000744642006,-0.003431997133099339,0.425,-0.037655172249339015,0.0027054108216432865,-1,80,0.0032068188325953,0.0032068188325953,-0.0013061000744642006,0.6596512063272452,short_history,csi500_relative,True,0.75,0.6777209650617961
excess_ret_5d_rank,-0.006578089913016,0.006578089913016,0.4875,-0.0013061000744642006,-0.003431997133099339,0.425,-0.037655172249339015,0.0027054108216432865,-1,80,0.0032068188325953,0.0032068188325953,-0.0013061000744642006,0.6596512063272452,short_history,csi500_relative,True,0.75,0.6777209650617961
excess_ret_20d,-0.008155125087014178,0.008155125087014178,0.45,-0.002320947497180428,-0.005329709632332745,0.45,-0.04846135630735692,0.003356713426853707,-1,80,0.00366980628915638,0.00366980628915638,-0.002320947497180428,0.6539246910190488,short_history,csi500_relative,True,0.75,0.6731397528152391
excess_ret_20d_rank,-0.008155125087014178,0.008155125087014178,0.45,-0.002320947497180428,-0.005329709632332745,0.45,-0.04846135630735692,0.003356713426853707,-1,80,0.00366980628915638,0.00366980628915638,-0.002320947497180428,0.6539246910190488,short_history,csi500_relative,True,0.75,0.6731397528152391
volume_z_5d,-0.01781054792297732,0.01781054792297732,0.525,0.00029917347698118384,0.00397013381509292,0.5375,-0.022656362290776756,0.0026803607214428856,-1,80,0.009350537659563092,0.009350537659563092,0.00029917347698118384,0.7297592203980916,short_history,short_volume_price,True,0.4375,0.6713073763184734
boll_width_20d,-0.0009260165618797889,0.0009260165618797889,0.525,-0.0055336043226110534,-0.007911889392046012,0.4375,-0.05840047952230481,0.005485971943887775,-1,80,0.0004861586949868892,0.0004861586949868892,-0.0055336043226110534,0.6178751675949764,short_history,short_bollinger,True,0.875,0.6693001340759812
intraday_return,-0.018323433540847218,0.018323433540847218,0.5,0.0018857841347558486,0.0018366721600422322,0.4875,-0.03668520898802228,0.0017785571142284568,-1,80,0.009161716770423609,0.009161716770423609,0.0018857841347558486,0.7224199689414417,short_history,short_volume_price,True,0.4375,0.6654359751531533
ret_1d,-0.015036505460044041,0.015036505460044041,0.4625,0.0022104417185573955,0.0012648543831153454,0.525,-0.03885600408760024,0.002004008016032064,-1,80,0.006954383775270369,0.006954383775270369,0.0022104417185573955,0.7159140344746432,short_history,short_returns,True,0.4375,0.6602312275797146
amount_z_5d,-0.017803875427342505,0.017803875427342505,0.575,-0.000464052644713258,0.003040864033120811,0.4875,-0.02650178711820741,0.0026803607214428856,-1,80,0.01023722837072194,0.01023722837072194,-0.000464052644713258,0.7152574410386611,short_history,short_volume_price,True,0.4375,0.6597059528309289
relative_vol_20d,-0.007797888825059723,0.007797888825059723,0.55,-0.005762709720932279,-0.00812271379109577,0.45,-0.06117232573537994,0.0056112224448897794,-1,80,0.004288838853782848,0.004288838853782848,-0.005762709720932279,0.6328155242870082,short_history,csi500_relative,True,0.75,0.6562524194296065
