experiment,fold_id,n_features,mean_rank_ic,top_k_excess,top_minus_bottom,hit_rate,worst_window,valid_dates
xgb_selected_features,7,70,0.05414205070987136,0.010058633569033332,0.01806163343841062,0.8,-0.024574912134038555,10
xgb_selected_features,6,70,0.3756864561329736,0.02415861705290027,0.05328835472766417,1.0,0.004252703701531087,10
xgb_selected_features,5,70,0.1365101769272853,0.016981718064759867,0.03258515650265542,0.9,-0.01258025600340431,10
xgb_selected_features,4,70,-0.15914480644655787,-0.00414872113457721,-0.009131348325304564,0.4,-0.0285359222660031,10
xgb_selected_features,3,70,0.008727031033108285,-0.001246700248562576,0.009575234352038605,0.4,-0.03054353225598261,10
xgb_selected_features,2,70,-0.0566548800241916,-0.0009920266917418158,-0.009390289370643293,0.5,-0.020203636208237397,10
xgb_selected_features,1,70,-0.22769719072304806,-0.018183348947261316,-0.03294871052231749,0.1,-0.031191187238664878,10
xgb_selected_features,0,70,0.047919285894272606,-0.001088007909814044,0.01277941182207718,0.6,-0.019098843071172357,10
