feature,model_count,candidate_count,general_count,short_count,avg_rank,min_rank
cash_flow_quality_industry_rank,4,4,4,0,83.75,60
cash_flow_to_revenue_zscore,4,4,4,0,83.75,57
cash_flow_to_revenue_rank,4,4,4,0,84.25,58
pe_ttm,4,4,4,0,88.0,88
pe_ttm_rank,4,4,4,0,88.0,87
pe_ttm_zscore,4,4,4,0,88.0,87
net_profit_growth_3y,4,4,3,1,90.75,47
net_profit_growth_3y_rank,4,4,3,1,91.25,46
cash_flow_per_share_to_eps,4,4,3,1,92.5,25
net_profit_growth_3y_zscore,4,4,3,1,92.5,48
missing_days_20d,4,4,2,2,94.25,62
zero_volume_days_20d,4,4,2,2,95.25,63
recent_halt_flag,4,4,2,2,95.75,64
net_profit_growth_yoy,4,4,3,1,96.0,29
pe_ttm_industry_rank,4,4,4,0,98.0,96
float_market_cap_rank,4,4,4,0,105.75,82
deducted_net_profit_growth_3y,4,4,4,0,106.0,78
log_float_market_cap,4,4,4,0,106.75,83
deducted_net_profit_growth_3y_zscore,4,4,4,0,107.0,77
deducted_net_profit_growth_3y_rank,4,4,4,0,107.25,79
float_market_cap,4,4,4,0,107.25,85
float_market_cap_zscore,4,4,4,0,107.25,84
cash_flow_per_share_to_eps_industry_rank,3,3,2,1,49.333333333333336,32
chinext_etf_ret_1d,3,3,0,3,81.0,79
chinext_etf_vol_20d,3,3,0,3,82.0,80
chinext_etf_ret_60d,3,3,0,3,83.0,81
chinext_etf_ret_20d,3,3,0,3,84.0,82
chinext_etf_ret_5d,3,3,0,3,85.0,83
chinext_etf_ret_3d,3,3,0,3,86.0,84
pb_industry_rank,3,3,3,0,87.0,59
oil_gas_etf_vol_20d,3,3,0,3,88.0,86
chinext_vol_20d,3,3,0,3,88.33333333333333,85
oil_gas_etf_ret_20d,3,3,0,3,89.0,88
oil_gas_etf_ret_60d,3,3,0,3,89.0,87
hang_seng_etf_ret_5d,3,3,0,3,91.0,89
hang_seng_etf_ret_20d,3,3,0,3,94.66666666666667,93
hang_seng_etf_ret_1d,3,3,0,3,95.0,92
hang_seng_etf_ret_60d,3,3,0,3,95.66666666666667,93
chinext_ret_1d,3,3,0,3,96.0,95
csi300_ret_20d,3,3,0,3,96.0,94
hang_seng_etf_ret_3d,3,3,0,3,98.0,92
hang_seng_etf_vol_20d,3,3,0,3,98.0,97
chinext_ret_3d,3,3,0,3,100.0,99
chinext_ret_5d,3,3,0,3,101.0,100
chinext_ret_20d,3,3,0,3,102.0,101
oil_gas_etf_ret_5d,3,3,0,3,103.0,102
oil_gas_etf_ret_3d,3,3,0,3,104.0,103
csi300_ret_1d,3,3,0,3,104.33333333333333,100
semiconductor_etf_ret_5d,3,3,0,3,105.0,104
csi300_ret_60d,3,3,0,3,105.33333333333333,96
