candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
balanced_extra_wide_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.02924229429910857,0.01552864676942578,0.01371364752968279,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,5.0
balanced_medium_current,w01,2026-01-22,2026-01-23,2026-01-29,5,-0.009861438973137758,0.01552864676942578,-0.025390085742563538,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,11.0
economic_medium_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.05088178329661592,0.01552864676942578,0.03535313652719014,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,1.0
recent_compact_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,-0.01851583794422609,0.01552864676942578,-0.034044484713651874,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,12.0
recent_compact_current,w01,2026-01-22,2026-01-23,2026-01-29,5,-0.0006470576824074488,0.01552864676942578,-0.01617570445183323,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,10.0
short_aggressive_compact_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.031924383045042116,0.01552864676942578,0.016395736275616336,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,3.0
short_aggressive_medium_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.031924383045042116,0.01552864676942578,0.016395736275616336,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,3.0
short_aggressive_wide_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.04892767799116597,0.01552864676942578,0.03339903122174019,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,2.0
stable_compact_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.00647439159255154,0.01552864676942578,-0.00905425517687424,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,9.0
stable_compact_current,w01,2026-01-22,2026-01-23,2026-01-29,5,0.016886529671800782,0.01552864676942578,0.0013578829023750023,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,6.0
stable_extra_wide_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.01680863290678385,0.01552864676942578,0.0012799861373580697,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,7.0
stable_medium_capacity,w01,2026-01-22,2026-01-23,2026-01-29,5,0.007578073007717811,0.01552864676942578,-0.00795057376170797,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,8.0
balanced_extra_wide_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.03775012102832437,-0.04364203472639738,0.005891913698073015,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,1.0
balanced_medium_current,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.0605531345242915,-0.04364203472639738,-0.016911099797894118,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,8.0
economic_medium_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.07621963624307927,-0.04364203472639738,-0.03257760151668189,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,10.0
recent_compact_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.08464590426731837,-0.04364203472639738,-0.04100386954092099,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,12.0
recent_compact_current,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.06417133746118621,-0.04364203472639738,-0.020529302734788826,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,9.0
short_aggressive_compact_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.050556186118421664,-0.04364203472639738,-0.006914151392024281,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,3.0
short_aggressive_medium_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.050556186118421664,-0.04364203472639738,-0.006914151392024281,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,3.0
short_aggressive_wide_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.08293309451907055,-0.04364203472639738,-0.039291059792673166,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,11.0
stable_compact_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.05896722878485912,-0.04364203472639738,-0.015325194058461736,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,7.0
stable_compact_current,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.05256398745922656,-0.04364203472639738,-0.008921952732829176,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,6.0
stable_extra_wide_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.043840463785990415,-0.04364203472639738,-0.00019842905959303186,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,2.0
stable_medium_capacity,w02,2026-01-29,2026-01-30,2026-02-05,5,-0.05142286454007008,-0.04364203472639738,-0.007780829813672695,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,5.0
balanced_extra_wide_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.04799036943705021,0.03406080966036895,0.013929559776681262,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,1.0
balanced_medium_current,w03,2026-02-05,2026-02-06,2026-02-12,5,0.04142061091518845,0.03406080966036895,0.007359801254819498,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,4.0
economic_medium_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.01748552325011717,0.03406080966036895,-0.016575286410251782,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,9.0
recent_compact_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.013107288871966983,0.03406080966036895,-0.02095352078840197,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,11.0
recent_compact_current,w03,2026-02-05,2026-02-06,2026-02-12,5,0.014497759838698313,0.03406080966036895,-0.01956304982167064,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,10.0
short_aggressive_compact_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.020873218351925522,0.03406080966036895,-0.013187591308443429,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,7.0
short_aggressive_medium_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.020873218351925522,0.03406080966036895,-0.013187591308443429,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,7.0
short_aggressive_wide_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.038590594399251874,0.03406080966036895,0.004529784738882922,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,6.0
stable_compact_capacity,w03,2026-02-05,2026-02-06,2026-02-12,5,0.04396677264329773,0.03406080966036895,0.009905962982928777,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,3.0
