feature,group,is_candidate
chinext_etf_ret_1d,market_regime,True
chinext_etf_ret_3d,market_regime,True
chinext_etf_ret_5d,market_regime,True
chinext_etf_ret_20d,market_regime,True
chinext_etf_ret_60d,market_regime,True
chinext_etf_vol_20d,market_regime,True
hang_seng_etf_ret_1d,market_regime,True
hang_seng_etf_ret_3d,market_regime,True
hang_seng_etf_ret_5d,market_regime,True
hang_seng_etf_ret_20d,market_regime,True
hang_seng_etf_ret_60d,market_regime,True
hang_seng_etf_vol_20d,market_regime,True
chinext_ret_1d,market_regime,True
chinext_ret_3d,market_regime,True
chinext_ret_5d,market_regime,True
chinext_ret_20d,market_regime,True
chinext_ret_60d,market_regime,True
chinext_vol_20d,market_regime,True
csi300_etf_ret_1d,market_regime,True
csi300_etf_ret_3d,market_regime,True
csi300_etf_ret_5d,market_regime,True
csi300_etf_ret_20d,market_regime,True
csi300_etf_ret_60d,market_regime,True
csi300_etf_vol_20d,market_regime,True
csi500_etf_ret_1d,market_regime,True
csi500_etf_ret_3d,market_regime,True
csi500_etf_ret_5d,market_regime,True
csi500_etf_ret_20d,market_regime,True
csi500_etf_ret_60d,market_regime,True
csi500_etf_vol_20d,market_regime,True
dividend_etf_ret_1d,market_regime,True
dividend_etf_ret_3d,market_regime,True
dividend_etf_ret_5d,market_regime,True
dividend_etf_ret_20d,market_regime,True
dividend_etf_ret_60d,market_regime,True
dividend_etf_vol_20d,market_regime,True
securities_etf_ret_1d,market_regime,True
securities_etf_ret_3d,market_regime,True
securities_etf_ret_5d,market_regime,True
securities_etf_ret_20d,market_regime,True
securities_etf_ret_60d,market_regime,True
securities_etf_vol_20d,market_regime,True
pharma_etf_ret_1d,market_regime,True
pharma_etf_ret_3d,market_regime,True
pharma_etf_ret_5d,market_regime,True
pharma_etf_ret_20d,market_regime,True
pharma_etf_ret_60d,market_regime,True
pharma_etf_vol_20d,market_regime,True
csi1000_etf_ret_1d,market_regime,True
csi1000_etf_ret_3d,market_regime,True
csi1000_etf_ret_5d,market_regime,True
csi1000_etf_ret_20d,market_regime,True
csi1000_etf_ret_60d,market_regime,True
csi1000_etf_vol_20d,market_regime,True
nonferrous_metals_etf_ret_1d,market_regime,True
nonferrous_metals_etf_ret_3d,market_regime,True
nonferrous_metals_etf_ret_5d,market_regime,True
nonferrous_metals_etf_ret_20d,market_regime,True
nonferrous_metals_etf_ret_60d,market_regime,True
nonferrous_metals_etf_vol_20d,market_regime,True
semiconductor_etf_ret_1d,market_regime,True
semiconductor_etf_ret_3d,market_regime,True
semiconductor_etf_ret_5d,market_regime,True
semiconductor_etf_ret_20d,market_regime,True
semiconductor_etf_ret_60d,market_regime,True
semiconductor_etf_vol_20d,market_regime,True
military_etf_ret_1d,market_regime,True
military_etf_ret_3d,market_regime,True
military_etf_ret_5d,market_regime,True
military_etf_ret_20d,market_regime,True
military_etf_ret_60d,market_regime,True
military_etf_vol_20d,market_regime,True
bank_etf_ret_1d,market_regime,True
bank_etf_ret_3d,market_regime,True
bank_etf_ret_5d,market_regime,True
bank_etf_ret_20d,market_regime,True
bank_etf_ret_60d,market_regime,True
bank_etf_vol_20d,market_regime,True
nasdaq100_etf_ret_1d,market_regime,True
nasdaq100_etf_ret_3d,market_regime,True
nasdaq100_etf_ret_5d,market_regime,True
nasdaq100_etf_ret_20d,market_regime,True
nasdaq100_etf_ret_60d,market_regime,True
nasdaq100_etf_vol_20d,market_regime,True
hang_seng_tech_etf_ret_1d,market_regime,True
hang_seng_tech_etf_ret_3d,market_regime,True
hang_seng_tech_etf_ret_5d,market_regime,True
hang_seng_tech_etf_ret_20d,market_regime,True
hang_seng_tech_etf_ret_60d,market_regime,True
hang_seng_tech_etf_vol_20d,market_regime,True
sp_oil_gas_etf_ret_1d,market_regime,True
sp_oil_gas_etf_ret_3d,market_regime,True
sp_oil_gas_etf_ret_5d,market_regime,True
sp_oil_gas_etf_ret_20d,market_regime,True
sp_oil_gas_etf_ret_60d,market_regime,True
sp_oil_gas_etf_vol_20d,market_regime,True
sp500_etf_ret_1d,market_regime,True
sp500_etf_ret_3d,market_regime,True
sp500_etf_ret_5d,market_regime,True
sp500_etf_ret_20d,market_regime,True
sp500_etf_ret_60d,market_regime,True
sp500_etf_vol_20d,market_regime,True
coal_etf_ret_1d,market_regime,True
