candidate,window_id,entry_date,start_date,end_date,stock_code,weight,score,stock_return,return_contribution,note
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300751,0.015625,0.996693386773547,-0.04266863978295732,-0.0006666974966087081,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300567,0.015625,0.9950901803607215,-0.08937164856317892,-0.0013964320087996706,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688608,0.015625,0.9024048096192385,-0.10431391664635636,-0.0016299049475993182,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,601611,0.015625,0.9006012024048097,-0.10977011494252864,-0.00171515804597701,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300919,0.015625,0.8990731462925852,-0.05389531870789421,-0.0008421143548108471,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,600498,0.015625,0.8988226452905812,-0.05308464849354377,-0.0008294476327116215,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300450,0.015625,0.8987474949899801,-0.08614410134600159,-0.0013460015835312748,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300627,0.015625,0.8984468937875751,-0.07553014057660234,-0.0011801584465094116,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,002156,0.015625,0.8953907815631262,-0.07596734114306003,-0.001186989705360313,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,002335,0.015625,0.8948897795591182,0.005469755469755588,8.546492921493107e-05,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688019,0.015625,0.8932865731462926,-0.08490502035278169,-0.001326640943012214,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,002429,0.015625,0.8914829659318637,-0.04437869822485219,-0.0006934171597633154,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688347,0.015625,0.8883266533066132,0.10975958786491136,0.00171499356038924,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300496,0.015625,0.8853707414829659,-0.0681030212976721,-0.0010641097077761265,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,301358,0.015625,0.882815631262525,-0.07975998829211173,-0.0012462498170642457,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,600363,0.015625,0.8810621242484971,-0.10927805978567395,-0.0017074696841511555,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688777,0.015625,0.8792084168336673,0.12072192513368996,0.0018862800802139056,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300073,0.015625,0.878557114228457,-0.10736579275905112,-0.0016775905118601737,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688709,0.015625,0.8771543086172344,-0.07211009174311922,-0.0011267201834862378,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688220,0.015625,0.8766032064128256,-0.05296316070475182,-0.0008275493860117472,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688629,0.015625,0.8764529058116232,-0.10245392915115059,-0.001600842642986728,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,001221,0.015625,0.8746492985971944,-0.00014716703458428348,-2.2994849153794295e-06,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,601106,0.015625,0.8745741482965933,-0.12776831345826234,-0.001996379897785349,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300748,0.015625,0.8730961923847695,-0.03163580246913589,-0.0004943094135802482,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688183,0.015625,0.8684118236472945,-0.04859611231101513,-0.0007593142548596114,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300346,0.015625,0.8680360721442886,-0.07286769644056423,-0.0011385577568838161,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,600516,0.015625,0.8676352705410821,-0.04958677685950408,-0.0007747933884297512,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688599,0.015625,0.8648797595190381,-0.10244135950215416,-0.0016006462422211588,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,600435,0.015625,0.8618236472945892,-0.07872696817420433,-0.0012301088777219426,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688387,0.015625,0.8593436873747495,-0.1559213534522177,-0.0024362711476909014,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,688318,0.015625,0.8558617234468938,-0.06724842440612222,-0.0010507566313456597,
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,300223,0.015625,0.9062625250501002,0.11863088292493185,0.00185360754570206,
