candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
balanced_extra_wide_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.04652267347426308,0.03130065503908663,0.015222018435176447,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,9.0
balanced_medium_current,w01,2026-01-21,2026-01-22,2026-01-28,5,0.03248701414424969,0.03130065503908663,0.0011863591051630568,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,12.0
economic_medium_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.08950197508003944,0.03130065503908663,0.05820132004095281,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,1.0
recent_compact_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.06238990989938468,0.03130065503908663,0.031089254860298045,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,6.0
recent_compact_current,w01,2026-01-21,2026-01-22,2026-01-28,5,0.04793300714598672,0.03130065503908663,0.01663235210690009,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,8.0
short_aggressive_compact_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.08279458728139877,0.03130065503908663,0.051493932242312135,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,2.0
short_aggressive_medium_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.08279458728139877,0.03130065503908663,0.051493932242312135,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,2.0
short_aggressive_wide_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.06409943302808256,0.03130065503908663,0.03279877798899593,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,5.0
stable_compact_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.057060885316166626,0.03130065503908663,0.025760230277079993,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,7.0
stable_compact_current,w01,2026-01-21,2026-01-22,2026-01-28,5,0.06880559813937195,0.03130065503908663,0.03750494310028532,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,4.0
stable_extra_wide_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.04574659394327173,0.03130065503908663,0.014445938904185093,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,11.0
stable_medium_capacity,w01,2026-01-21,2026-01-22,2026-01-28,5,0.045855047429849104,0.03130065503908663,0.01455439239076247,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,10.0
balanced_extra_wide_capacity,w02,2026-01-28,2026-01-29,2026-02-04,5,-0.04450945006304012,-0.0351239669421487,-0.009385483120891422,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,7.0
balanced_medium_current,w02,2026-01-28,2026-01-29,2026-02-04,5,-0.06197439696572943,-0.0351239669421487,-0.02685043002358073,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,11.0
economic_medium_capacity,w02,2026-01-28,2026-01-29,2026-02-04,5,-0.04750097211873765,-0.0351239669421487,-0.012377005176588948,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,8.0
recent_compact_capacity,w02,2026-01-28,2026-01-29,2026-02-04,5,-0.06386127628737247,-0.0351239669421487,-0.02873730934522377,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,12.0
