candidate,exact_rank,exact_final_score,rounded_final_score,rounded_delta_final_score,exact_raw_score,rounded_raw_score,rounded_delta_raw_score,median_final_score,median_delta_final_score,median_raw_score,median_delta_raw_score,p25_final_score,p25_raw_score,min_final_score,max_final_score,pct_within_0_02,pct_within_0_05,pct_within_raw_0_001,pct_within_raw_0_0025,neighbor_count,robustness_class
balanced_extra_wide_capacity,407,0.5628767489711934,0.4857360082304527,-0.07714074074074073,0.005980159350084178,0.005338152579610713,-0.0006420067704734651,0.4815532921810699,-0.08132345679012354,0.005118035108761843,-0.0008621242413223351,0.4325298353909465,0.004867262896484254,0.3545965020576131,0.5628767489711934,0.061224489795918366,0.24489795918367346,0.673469387755102,1.0,49,stable
recent_compact_current,483,0.526911316872428,0.4601014403292181,-0.06680987654320986,0.007059520325244197,0.0061453257771685475,-0.0009141945480756492,0.40826934156378597,-0.11864197530864201,0.005313668300926016,-0.0017458520243181811,0.33663168724279835,0.004116800915634819,0.28382551440329223,0.526911316872428,0.061224489795918366,0.1836734693877551,0.32653061224489793,0.5714285714285714,49,acceptable
stable_medium_capacity,804,0.39806995884773666,0.3217551440329218,-0.07631481481481484,0.005226099427896624,0.003974947227554884,-0.00125115220034174,0.33206625514403293,-0.06600370370370373,0.0040889479808739575,-0.0011371514470226662,0.3183906378600823,0.003869710198940576,0.2914965020576132,0.39806995884773666,0.0625,0.28125,0.421875,1.0,64,acceptable
stable_compact_current,1,0.8602409465020576,0.8553927983539095,-0.004848148148148157,0.01042163526664405,0.010354658251194936,-6.697701544911526e-05,0.6512100823045268,-0.20903086419753086,0.007980090889307113,-0.002441544377336939,0.5890977366255143,0.007511924965820056,0.3370230452674897,0.8602409465020576,0.060714285714285714,0.08571428571428572,0.08214285714285714,0.5178571428571429,280,fragile
recent_compact_capacity,77,0.7324637860082305,0.6784539094650206,-0.05400987654320988,0.010033245789927318,0.009156661787127126,-0.0008765840028001921,0.5201310699588477,-0.2123327160493828,0.007332477539824089,-0.0027007682501032286,0.45213492798353905,0.006479241807006334,0.3034934156378601,0.7324637860082305,0.025,0.07,0.1,0.43,200,fragile
balanced_medium_current,107,0.7063884773662551,0.693524279835391,-0.012864197530864097,0.008752685543397778,0.008674383957787864,-7.83015856099141e-05,0.4995366255144033,-0.2068518518518518,0.0058614121371136215,-0.0028912734062841563,0.409681841563786,0.005258414120611025,0.31427613168724283,0.7063884773662551,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.39285714285714285,28,fragile
short_aggressive_wide_capacity,111,0.704716255144033,0.6447002057613169,-0.0600160493827161,0.008748201841883328,0.008214424921965478,-0.0005337769199178499,0.462762242798354,-0.24195401234567906,0.006303796088694485,-0.002444405753188842,0.40428569958847743,0.0054252365421448255,0.23504588477366256,0.704716255144033,0.013392857142857142,0.044642857142857144,0.15625,0.5178571428571429,224,fragile
stable_extra_wide_capacity,145,0.6871952674897119,0.5896255144032923,-0.09756975308641969,0.008112850680404245,0.006221839790809111,-0.001891010889595134,0.5814449588477366,-0.10575030864197538,0.006218477048833928,-0.0018943736315703164,0.4976681069958848,0.005401176101713181,0.3518767489711934,0.6871952674897119,0.03571428571428571,0.125,0.19642857142857142,0.7142857142857143,56,fragile
short_aggressive_compact_capacity,551,0.5002687242798354,0.4617292181069958,-0.03853950617283958,0.00555975882605144,0.005320823408627094,-0.00023893541742434597,0.3754810699588478,-0.1247876543209876,0.004097175840504362,-0.0014625829855470776,0.3245786008230453,0.0032346191744223197,0.21017983539094653,0.5002687242798354,0.024390243902439025,0.0975609756097561,0.1951219512195122,0.7804878048780488,41,fragile
short_aggressive_medium_capacity,552,0.5002687242798354,0.4617292181069958,-0.03853950617283958,0.00555975882605144,0.005320823408627094,-0.00023893541742434597,0.3754810699588478,-0.1247876543209876,0.004097175840504362,-0.0014625829855470776,0.3245786008230453,0.0032346191744223197,0.21017983539094653,0.5002687242798354,0.024390243902439025,0.0975609756097561,0.1951219512195122,0.7804878048780488,41,fragile
economic_medium_capacity,1009,0.32143415637860084,0.28256131687242797,-0.038872839506172874,0.0033255206409433073,0.002267190501616277,-0.0010583301393270305,0.17309804526748968,-0.14833611111111117,0.0008609308070767275,-0.0024645898338665796,0.0836275205761317,-0.000828390145709567,-0.10271090534979421,0.32143415637860084,0.06428571428571428,0.12142857142857143,0.10714285714285714,0.5,140,fragile
stable_compact_capacity,76,0.7327020576131686,0.3636650205761317,-0.36903703703703694,0.008561709968916592,0.003785563176752695,-0.004776146792163897,0.5266063786008229,-0.2060956790123457,0.006381660096953311,-0.002180049871963281,0.3738366255144033,0.004178206073076868,0.19453909465020575,0.7327020576131686,0.06976744186046512,0.13953488372093023,0.3023255813953488,0.627906976744186,43,spiky
