candidate,round,model0_weight,model1_weight,top_k,internal_max_weight,risk_filter_enabled,weighting,score_combination,windows,mean_excess,sum_excess,hit_rate,worst_window,best_window,std_excess,mean_3w,sum_3w,hit_3w,worst_3w,best_3w,std_3w,mean_7w,sum_7w,hit_7w,worst_7w,best_7w,std_7w,mean_13w,sum_13w,hit_13w,worst_13w,best_13w,std_13w,raw_score_3w,raw_score_7w,raw_score_13w,raw_penalty,raw_combined_score,audit_kind,score_3w,rank_3w,score_7w,rank_7w,score_13w,rank_13w,rank_spread_3_7_13,final_penalty,final_score
stable_compact_current,robustness,0.5465,0.4535,31,0.031758,True,rank,rank_average,13,0.009603093935345784,0.1248402211594952,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.017950436300978288,0.025358169655405226,0.07607450896621568,1.0,0.016568274464532483,0.03335156830692443,0.006874859664163794,0.012827875688589788,0.08979512982012852,0.5714285714285714,-0.01079446554250689,0.03335156830692443,0.01694600272760193,0.009603093935345784,0.1248402211594952,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.017950436300978288,0.020921687276876696,0.004321144084897477,0.0007229701179300385,0.0,0.01042163526664405,exact,0.943761316872428,3.0,0.7770493827160494,151.0,0.8870946502057613,3.0,148.0,0.0,0.8602409465020576
stable_compact_current,robustness,0.55,0.44999999999999996,31,0.031758,True,rank,rank_average,13,0.009484104334867056,0.12329335635327174,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.017999560519606165,0.025358169655405226,0.07607450896621568,1.0,0.016568274464532483,0.03335156830692443,0.006874859664163794,0.012827875688589788,0.08979512982012852,0.5714285714285714,-0.01079446554250689,0.03335156830692443,0.01694600272760193,0.009484104334867056,0.12329335635327174,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.017999560519606165,0.020921687276876696,0.004321144084897477,0.000655146045657164,0.0,0.010411461655803119,neighbor,0.943761316872428,3.0,0.7770493827160494,151.0,0.886156378600823,4.0,148.0,0.0,0.8601002057613168
stable_compact_current,robustness,0.5465,0.4535,31,0.030758,True,rank,rank_average,13,0.009474312741477961,0.12316606563921349,0.5384615384615384,-0.01609623879213396,0.03811912568345732,0.017834004476246536,0.025084344417689225,0.07525303325306767,1.0,0.016807718668374785,0.03265476272084649,0.006488772252540054,0.012666115935200733,0.08866281154640514,0.5714285714285714,-0.010792356381241437,0.03265476272084649,0.01675419174815846,0.009474312741477961,0.12316606563921349,0.5384615384615384,-0.01609623879213396,0.03811912568345732,0.017834004476246536,0.02084462347864654,0.004229637048683315,0.0006270609996997684,0.0,0.010335245213321072,neighbor,0.9454156378600823,1.0,0.7761358024691358,153.0,0.8776131687242799,13.0,152.0,0.0,0.859069341563786
stable_compact_current,robustness,0.55,0.44999999999999996,31,0.030758,True,rank,rank_average,13,0.009354692047589675,0.12161099661866577,0.5384615384615384,-0.01609623879213396,0.03811912568345732,0.017885634771511522,0.025084344417689225,0.07525303325306767,1.0,0.016807718668374785,0.03265476272084649,0.006488772252540054,0.012666115935200733,0.08866281154640514,0.5714285714285714,-0.010792356381241437,0.03265476272084649,0.01675419174815846,0.009354692047589675,0.12161099661866577,0.5384615384615384,-0.01609623879213396,0.03811912568345732,0.017885634771511522,0.02084462347864654,0.004229637048683315,0.0005588772041834452,0.0,0.010325017643993623,neighbor,0.9454156378600823,1.0,0.7761358024691358,153.0,0.8762057613168724,17.0,152.0,0.0,0.8588582304526748
stable_compact_current,robustness,0.5465,0.4535,31,0.032,True,rank,rank_average,13,0.009626774415043187,0.12514806739556142,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.01795798991296082,0.025272858405745197,0.07581857521723559,1.0,0.01635434296594197,0.03343015828011608,0.006991921720277772,0.012791387057414052,0.08953970940189837,0.5714285714285714,-0.010805130112147239,0.03343015828011608,0.016939196941040527,0.009626774415043187,0.12514806739556142,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.01795798991296082,0.020802462470035612,0.004296826257145991,0.0007347774741968488,0.0,0.01036477342485947,neighbor,0.9373909465020576,8.0,0.7727283950617283,156.0,0.8856625514403292,5.0,151.0,0.0,0.8555335390946502
stable_compact_current,robustness,0.55,0.44999999999999996,31,0.032,True,rank,rank_average,13,0.0095084682903118,0.1236100877740534,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.018005125649586645,0.025272858405745197,0.07581857521723559,1.0,0.01635434296594197,0.03343015828011608,0.006991921720277772,0.012791387057414052,0.08953970940189837,0.5714285714285714,-0.010805130112147239,0.03343015828011608,0.016939196941040527,0.0095084682903118,0.1236100877740534,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.018005125649586645,0.020802462470035612,0.004296826257145991,0.0006673429830999583,0.0,0.010354658251194936,rounded,0.9373909465020576,8.0,0.7727283950617283,156.0,0.8847242798353908,7.0,149.0,0.0,0.8553927983539095
stable_compact_current,robustness,0.5965,0.40349999999999997,31,0.031758,True,rank,rank_average,13,0.009245716157106676,0.12019431004238679,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.01783075912438297,0.024634368798898566,0.0739031063966957,1.0,0.01639593284172023,0.031352507360216705,0.0061999063681493875,0.012517675321515502,0.08762372725060852,0.5714285714285714,-0.01079446554250689,0.031352507360216705,0.016605403414704695,0.009245716157106676,0.12019431004238679,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.01783075912438297,0.02045224805313986,0.004144329875665134,0.0005192647843337471,0.0,0.010123737382955317,neighbor,0.9365761316872429,10.0,0.7716543209876543,161.0,0.882872427983539,9.0,152.0,0.0,0.8543057613168725
stable_compact_current,robustness,0.5965,0.40349999999999997,31,0.032,True,rank,rank_average,13,0.009264759704767025,0.12044187616197133,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.01784039616544106,0.024574462917991476,0.07372338875397443,1.0,0.01629414106467836,0.03139517371811853,0.00625076769258538,0.012492074705519602,0.0874445229386372,0.5714285714285714,-0.010805130112147239,0.03139517371811853,0.01659450970836347,0.009264759704767025,0.12044187616197133,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.01784039616544106,0.020384510414599002,0.004126218216566155,0.0005284290893394361,0.0,0.010089866726695287,neighbor,0.9324526748971192,13.0,0.7687407407407407,165.0,0.8814403292181069,11.0,154.0,0.0,0.8511304526748971
stable_compact_current,robustness,0.5715,0.4285,31,0.031758,True,rank,rank_average,13,0.00945036714558972,0.12285477289266637,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.01754632108805298,0.024073130928721084,0.07221939278616325,1.0,0.016428645500439282,0.02963608109096521,0.005589196753099778,0.012277144805725155,0.08594001364007609,0.5714285714285714,-0.01079446554250689,0.030886621299611464,0.016337138663448776,0.00945036714558972,0.12285477289266637,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.01754632108805298,0.02014313764451598,0.004007227481664636,0.000635915847769082,0.0,0.00995589480172084,neighbor,0.9284279835390946,16.0,0.7664938271604939,167.0,0.8847489711934156,6.0,161.0,0.0,0.8490057613168724
stable_compact_current,robustness,0.5465,0.4535,31,0.03,True,rank,rank_average,13,0.009053442642982688,0.11769475435877495,0.5384615384615384,-0.016059272429072072,0.03823685110945775,0.01783846951325444,0.024614177003452423,0.07384253101035727,1.0,0.016735117817621232,0.03135401520329203,0.006022259184856674,0.01217432866371907,0.08522030064603349,0.5714285714285714,-0.011089014763899618,0.03135401520329203,0.01677701252434909,0.009053442642982688,0.11769475435877495,0.5384615384615384,-0.016059272429072072,0.03823685110945775,0.01783846951325444,0.020552669771782887,0.0038514210376615664,0.0003993639433678859,0.0,0.010014111967166043,neighbor,0.9422551440329218,5.0,0.7541111111111112,187.0,0.8767242798353908,15.0,182.0,0.0,0.8477606995884774
stable_compact_current,robustness,0.5565,0.4435,31,0.031758,True,rank,rank_average,13,0.00917666103834475,0.11929659349848176,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.01762726080823695,0.024025915370475232,0.0720777461114257,1.0,0.016428645500439286,0.029494434416227656,0.005542405918726416,0.012256909566476935,0.08579836696533855,0.5714285714285714,-0.01079446554250689,0.030886621299611464,0.016315698944285056,0.00917666103834475,0.11929659349848176,0.5384615384615384,-0.016028045344480595,0.03827953262484307,0.01762726080823695,0.020116224776315847,0.00399569339529315,0.00047990336663944965,0.0,0.009916537443404172,neighbor,0.9268230452674896,18.0,0.7655555555555555,169.0,0.8819341563786007,10.0,159.0,0.0,0.847519341563786
stable_compact_current,robustness,0.5965,0.40349999999999997,31,0.030758,True,rank,rank_average,13,0.009137811101962953,0.11879154432551839,0.46153846153846156,-0.01609623879213396,0.03811912568345732,0.017780369200402133,0.02447939293260513,0.07343817879781539,1.0,0.01628740648957849,0.03136022044439049,0.006222903043667223,0.012406851013021835,0.08684795709115285,0.5714285714285714,-0.010792356381241437,0.03136022044439049,0.016519834290929163,0.009137811101962953,0.11879154432551839,0.46153846153846156,-0.01609623879213396,0.03811912568345732,0.017780369200402133,0.02032809811314583,0.004081856043041343,0.0003583319882531368,0.0,0.010021824262864907,neighbor,0.9312427983539094,14.0,0.7702716049382716,164.0,0.8443127572016461,80.0,150.0,0.0,0.8457662551440329
stable_compact_current,robustness,0.5715,0.4285,31,0.032,True,rank,rank_average,13,0.00947570461547358,0.12318416000115653,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.01756190446153607,0.024022128830444064,0.0720663864913322,1.0,0.016285716999845695,0.029746595520308963,0.005676545608769364,0.012255360096570711,0.08578752067599497,0.5714285714285714,-0.010805130112147239,0.03088447481333989,0.01633392342033637,0.00947570461547358,0.12318416000115653,0.5384615384615384,-0.01603316812375547,0.03835597424756902,0.01756190446153607,0.020066900043302194,0.003991290889465288,0.0006486676884421731,0.0,0.009920141070846584,neighbor,0.920514403292181,24.0,0.762641975308642,172.0,0.8837860082304526,8.0,164.0,0.0,0.8439625514403292
