strategy,anchor,mean_3w,worst_3w,hit_3w,mean_7w,worst_7w,hit_7w,mean_13w,worst_13w,hit_13w,legacy_raw_score_3713,raw_penalty,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,mean_3w_rank,worst_3w_rank,hit_3w_rank,rank_score_3w,legacy_rank_score_3w,mean_7w_rank,worst_7w_rank,hit_7w_rank,rank_score_7w,legacy_rank_score_7w,mean_13w_rank,worst_13w_rank,hit_13w_rank,rank_score_13w,legacy_rank_score_13w,anchor_score_3713,legacy_anchor_score_3713,anchor_rank,legacy_anchor_rank
pure_current,2026-04-30,0.0253581696554052,0.0165682744645324,1.0,0.0128278756885897,-0.0107944655425068,0.5714285714285714,0.0096030939353457,-0.0160280453444805,0.5384615384615384,0.010421635266644,0.0,31.0,31,31,1.0,31,final_portfolio,False,0.9272727272727272,0.8666666666666667,0.503030303030303,0.8424242424242424,0.8648484848484849,0.8666666666666667,0.2787878787878788,0.3878787878787879,0.5890909090909091,0.6247878787878788,0.9393939393939394,0.3878787878787879,0.7,0.7104545454545454,0.7334545454545454,0.7015,0.7371121212121212,47,40
pure_current,2026-05-06,0.0273998281112998,0.0128512283937639,1.0,0.0130956829766424,-0.0166545749522753,0.5714285714285714,0.0121024297841647,-0.0198368881847832,0.6153846153846154,0.0096316435912989,0.0,31.0,31,31,1.0,31,final_portfolio,False,0.006060606060606,0.006060606060606,0.503030303030303,0.0806060606060606,0.0557575757575757,0.006060606060606,0.9757575757575756,0.503030303030303,0.42,0.3757575757575757,0.9575757575757576,0.7878787878787878,0.987878787878788,0.9027272727272726,0.9046060606060604,0.4629999999999999,0.3270848484848485,119,146
pure_current,2026-05-07,0.0207135291569087,0.004448398883785,1.0,0.0097229323163813,-0.0290932224393632,0.5714285714285714,0.0055806301528366,-0.0290932224393632,0.5384615384615384,0.0032584033625723,0.0,31.0,31,31,1.0,31,final_portfolio,False,0.006060606060606,0.006060606060606,0.503030303030303,0.0806060606060606,0.0557575757575757,0.006060606060606,0.0484848484848484,0.4909090909090909,0.0936363636363636,0.0685454545454545,0.0424242424242424,0.0484848484848484,0.8,0.1581818181818181,0.1201818181818182,0.1090909090909091,0.0711757575757575,163,165
pure_current,2026-05-08,0.0389153919793562,0.0107125591895912,1.0,0.0234877393827878,-0.0347695540689914,0.8571428571428571,0.0121061591642298,-0.0373373423092508,0.6153846153846154,0.0097129936990148,0.0015,31.0,31,31,1.0,31,final_portfolio,False,0.9333333333333332,0.1818181818181818,0.503030303030303,0.6057575757575757,0.6423030303030303,1.0,0.006060606060606,0.5333333333333333,0.582121212121212,0.6253333333333333,0.7393939393939394,0.006060606060606,0.2909090909090909,0.4154545454545454,0.4525454545454545,0.5392121212121211,0.6047030303030303,46,34
pure_capacity,2026-04-30,0.0202419782657748,0.014413710497896,1.0,0.0114423705429112,-0.0083171407084672,0.7142857142857143,0.006137682711883,-0.0198568320104142,0.5384615384615384,0.0085617099689165,0.0,33.0,33,33,0.0,33,final_portfolio,False,0.4484848484848485,0.3818181818181818,0.503030303030303,0.4333333333333333,0.4319393939393939,0.5212121212121212,0.5757575757575758,0.8878787878787879,0.5953030303030303,0.5758787878787879,0.4787878787878787,0.109090909090909,0.7,0.3825757575757575,0.3789090909090908,0.4828939393939394,0.4887575757575758,86,81
pure_capacity,2026-05-06,0.0347770705088604,0.022364116745252,1.0,0.0153291616271395,-0.0222673077950959,0.5714285714285714,0.0086863205822791,-0.0226333041163046,0.4615384615384615,0.0118551757185844,0.0,33.0,33,33,0.0,33,final_portfolio,False,0.7878787878787878,1.0,0.503030303030303,0.8193939393939393,0.8293939393939394,0.8484848484848485,0.2666666666666666,0.503030303030303,0.593030303030303,0.6219393939393939,0.006060606060606,0.2484848484848484,0.3787878787878788,0.1468181818181818,0.1233333333333333,0.5270757575757575,0.6301303030303029,67,35
pure_capacity,2026-05-07,0.0390075115071287,0.0224028428172991,1.0,0.0173320460412429,-0.0245785981994078,0.5714285714285714,0.0070733717229987,-0.0245785981994078,0.4615384615384615,0.0127611421502949,0.0,33.0,33,33,0.0,33,final_portfolio,False,1.0,1.0,0.503030303030303,0.9254545454545454,0.9503030303030302,1.0,0.7212121212121212,0.4909090909090909,0.826060606060606,0.857090909090909,0.6848484848484848,0.7333333333333333,0.3090909090909091,0.6454545454545455,0.6632727272727271,0.8016969696969697,0.8653030303030302,9,4
pure_capacity,2026-05-08,0.0352882661834632,0.0207236522236496,1.0,0.017131563822271,-0.0204872613271569,0.8571428571428571,0.008809009440435,-0.0226473392207385,0.7692307692307693,0.0126663605135106,0.0,33.0,33,33,0.0,33,final_portfolio,False,0.296969696969697,1.0,0.503030303030303,0.573939393939394,0.5495757575757576,0.0242424242424242,0.9212121212121211,0.5333333333333333,0.4145454545454546,0.3711515151515152,0.006060606060606,0.987878787878788,0.9757575757575756,0.4951515151515152,0.427030303030303,0.4865454545454546,0.4509030303030303,106,113
portfolio_55_all_union,2026-04-30,0.02280007396059,0.0154909924812142,1.0,0.0121351231157505,-0.0055433853736578,0.5714285714285714,0.0078703883236144,-0.0115698316196923,0.5384615384615384,0.0103708178461429,0.0,45.76923076923077,41,55,0.5,999,final_portfolio,False,0.6393939393939394,0.6363636363636364,0.503030303030303,0.6178787878787879,0.6247575757575757,0.6636363636363637,0.8090909090909091,0.3878787878787879,0.6731818181818182,0.684060606060606,0.7333333333333333,0.9,0.7,0.7866666666666666,0.7849999999999999,0.6906363636363636,0.675480303030303,50,51
portfolio_55_all_union,2026-05-06,0.0310884493100801,0.017607672569508,1.0,0.014212422301891,-0.0194609413736856,0.5714285714285714,0.0103943751832219,-0.0201243731979849,0.4615384615384615,0.0107868519795549,0.0,45.07692307692308,40,54,0.5,999,final_portfolio,False,0.2454545454545454,0.6787878787878788,0.503030303030303,0.4357575757575757,0.4142121212121212,0.4181818181818181,0.6181818181818182,0.503030303030303,0.5009090909090909,0.4926666666666666,0.3757575757575757,0.6181818181818182,0.3787878787878788,0.461060606060606,0.456060606060606,0.4694090909090909,0.4557939393939394,111,103
